episode,steps,reward,loss,epsilon,outcome,win_rate_50
212,51,-6.2,0.46994,0.712,out_of_bounds,0.0
213,102,-4.066,0.37278,0.711,out_of_bounds,0.0
214,101,-4.941,0.35194,0.71,out_of_bounds,0.0
215,160,-2.756,0.38727,0.708,out_of_bounds,0.0
216,175,-5.107,0.35741,0.707,out_of_bounds,0.0
217,122,-3.393,0.39638,0.706,out_of_bounds,0.0
218,48,-5.026,0.40941,0.704,out_of_bounds,0.0
219,77,-4.685,0.2785,0.703,out_of_bounds,0.0
220,113,-4.167,0.34888,0.701,out_of_bounds,0.0
221,140,-2.812,0.39702,0.7,out_of_bounds,0.0
222,134,-5.872,0.29233,0.699,out_of_bounds,0.0
223,107,-3.917,0.31664,0.697,out_of_bounds,0.0
224,58,-5.035,0.29657,0.696,out_of_bounds,0.0
225,47,-4.955,0.30545,0.695,out_of_bounds,0.0
226,159,-1.775,0.35055,0.693,out_of_bounds,0.0
227,92,-3.909,0.35802,0.692,out_of_bounds,0.0
228,109,-3.314,0.36191,0.691,out_of_bounds,0.0
229,197,-1.182,0.35511,0.689,out_of_bounds,0.0
230,33,-5.083,0.36929,0.688,out_of_bounds,0.0
231,227,-0.431,0.33458,0.686,out_of_bounds,0.0
232,23,-5.089,0.32546,0.685,out_of_bounds,0.0
233,44,-5.299,0.23387,0.684,out_of_bounds,0.0
234,46,-5.389,0.3957,0.682,out_of_bounds,0.0
235,16,-9.887,0.35759,0.681,loss,0.0
236,41,-4.925,0.18826,0.68,out_of_bounds,0.0
237,53,-5.157,0.27238,0.678,out_of_bounds,0.0
238,59,-5.026,0.28861,0.677,out_of_bounds,0.0
239,72,-4.665,0.42669,0.676,out_of_bounds,0.0
240,56,-5.269,0.31682,0.674,out_of_bounds,0.0
241,89,-4.667,0.28313,0.673,out_of_bounds,0.0
242,122,-3.842,0.33955,0.672,out_of_bounds,0.0
243,45,-5.401,0.2767,0.67,out_of_bounds,0.0
244,95,-7.542,0.31872,0.669,out_of_bounds,0.0
245,43,-5.342,0.233,0.667,out_of_bounds,0.0
246,76,-4.997,0.30686,0.666,out_of_bounds,0.0
247,85,-5.05,0.30455,0.665,out_of_bounds,0.0
248,86,-3.616,0.2968,0.663,out_of_bounds,0.0
249,223,-2.038,0.2852,0.662,out_of_bounds,0.0
250,60,-5.455,0.34939,0.661,out_of_bounds,0.0
251,81,-4.979,0.27216,0.659,out_of_bounds,0.0
252,137,-4.204,0.26061,0.658,out_of_bounds,0.0
253,73,-4.963,0.36575,0.657,out_of_bounds,0.0
254,198,-0.63,0.27236,0.655,out_of_bounds,0.0
255,131,-2.499,0.23525,0.654,out_of_bounds,0.0
256,53,-5.554,0.3487,0.653,out_of_bounds,0.0
257,69,-4.262,0.30953,0.651,out_of_bounds,0.0
258,338,1.624,0.27358,0.65,out_of_bounds,0.0
259,17,-5.143,0.18378,0.649,out_of_bounds,0.0
260,23,-5.033,0.18394,0.647,out_of_bounds,0.0
261,53,-5.073,0.22551,0.646,out_of_bounds,0.0
262,28,-10.091,0.30432,0.644,loss,0.0
263,49,-5.547,0.27892,0.643,out_of_bounds,0.0
264,126,-3.709,0.26791,0.642,out_of_bounds,0.0
265,171,-1.861,0.34172,0.64,out_of_bounds,0.0
266,154,-2.886,0.27514,0.639,out_of_bounds,0.0
267,73,-5.601,0.21329,0.638,out_of_bounds,0.0
268,108,-4.486,0.24925,0.636,out_of_bounds,0.0
269,101,-5.216,0.30162,0.635,out_of_bounds,0.0
270,210,-2.47,0.29613,0.634,out_of_bounds,0.0
271,151,-3.212,0.22491,0.632,out_of_bounds,0.0
272,61,-3.929,0.2619,0.631,out_of_bounds,0.0
273,303,0.684,0.22223,0.629,out_of_bounds,0.0
274,219,-2.3,0.28315,0.628,out_of_bounds,0.0
275,206,-0.818,0.23268,0.627,out_of_bounds,0.0
276,41,-5.378,0.20182,0.625,out_of_bounds,0.0
277,190,-3.818,0.19719,0.624,out_of_bounds,0.0
278,73,-4.809,0.23181,0.623,out_of_bounds,0.0
279,386,0.508,0.23658,0.621,out_of_bounds,0.0
280,204,-2.886,0.22346,0.62,out_of_bounds,0.0
281,181,-3.602,0.18094,0.619,out_of_bounds,0.0
282,400,2.093,0.16826,0.617,timeout,0.0
283,400,3.631,0.18496,0.616,timeout,0.0
284,108,-5.888,0.24847,0.615,out_of_bounds,0.0
285,400,0.38,0.18439,0.613,timeout,0.0
286,400,3.491,0.18816,0.612,timeout,0.0
287,400,2.83,0.17271,0.611,timeout,0.0
288,75,-5.86,0.22606,0.609,out_of_bounds,0.0
289,400,3.956,0.1725,0.608,timeout,0.0
290,111,-2.295,0.16198,0.606,out_of_bounds,0.0
291,143,-3.748,0.17331,0.605,out_of_bounds,0.0
292,117,-6.883,0.16349,0.604,out_of_bounds,0.0
293,282,-1.607,0.16106,0.602,out_of_bounds,0.0
294,400,4.01,0.14525,0.601,timeout,0.0
295,292,0.505,0.17293,0.6,out_of_bounds,0.0
296,400,3.645,0.15994,0.598,timeout,0.0
297,400,2.769,0.14835,0.597,timeout,0.0
298,400,3.225,0.1607,0.596,timeout,0.0
299,364,0.912,0.15302,0.594,out_of_bounds,0.0
300,88,-4.021,0.0902,0.593,out_of_bounds,0.0
301,126,-4.837,0.15652,0.592,out_of_bounds,0.0
302,400,4.256,0.13598,0.59,timeout,0.0
303,371,3.127,0.11668,0.589,out_of_bounds,0.0
304,127,-4.265,0.21536,0.587,out_of_bounds,0.0
305,400,1.907,0.13152,0.586,timeout,0.0
306,242,-0.582,0.12156,0.585,out_of_bounds,0.0
307,400,3.499,0.13754,0.583,timeout,0.0
308,400,1.064,0.14931,0.582,timeout,0.0
309,400,1.716,0.12957,0.581,timeout,0.0
310,400,2.672,0.15896,0.579,timeout,0.0
311,400,2.972,0.15645,0.578,timeout,0.0
312,400,3.48,0.11332,0.577,timeout,0.0
313,204,-1.49,0.13081,0.575,out_of_bounds,0.0
314,400,2.274,0.13345,0.574,timeout,0.0
315,400,4.503,0.13712,0.573,timeout,0.0
316,400,1.666,0.10951,0.571,timeout,0.0
